Title,Date,Volume,Issue,StartPage,EndPage,DOI
Harnessing Heredity in Gilded Age America: Middle Class Mores and Industrial Breeding in a Cultural Context,2002,35,1,43,78,10.2307/4331707
Joseph Barcroft and the Fixity of the Internal Environment,1969,2,1,89,122,10.2307/4330508
Commentary: Part I,1969,2,1,123,147,10.2307/4330509
Review: The Naming of the Beasts: Natural History in the Medieval Bestiary|Wilma George;Brunsdon Yapp,1993,26,1,160,162,10.2307/4331254
Editors' Foreword,1969,2,1,,,10.2307/4330502
Biology and the Unity of Science,1969,2,1,3,18,10.2307/4330503
Theories and Explanations in Biology,1969,2,1,19,33,10.2307/4330504
The Bases of Conflict in Biological Explanation,1969,2,1,35,45,10.2307/4330505
Explanation in Biology,1969,2,1,47,53,10.2307/4330506
"Review: A Short History of Genetics: The Development of Some of the Main Lines of Thought, 1864-1939|L. C. Dunn",1993,26,1,158,159,10.2307/4331252
Review: The Meaning of Evolution: The Morphological Construction and Ideological Reconstruction of Darwin's Theory|Robert J. Richards,1993,26,1,153,156,10.2307/4331250
"Review: The Correspondence of John Bartram, 1734-1777|Edmund Berkeley;Dorothy Smith Berkeley;John Bartram",1993,26,3,586,587,10.2307/4331291
Review: Stephen Forbes and the Rise of American Ecology|Robert A. Croker,2002,35,2,394,396,10.2307/4331742
The Construction of Bacteriophage as Bacterial Virus: Linking Endogenous and Exogenous Thought Styles,1994,27,1,91,139,10.2307/4331297
Review: The Unfit: A History of a Bad Idea|Elof Alex Carlson,2002,35,2,398,400,10.2307/4331744
The Origins of the Neutral Theory of Molecular Evolution,1994,27,1,21,59,10.2307/4331295
Metaphysical Foundations of the Evolutionary Synthesis: A Historiographical Note,1994,27,1,1,20,10.2307/4331294
"Review: Darwin's Mentor: John Stevens Henslow, 1796-1861|S. M. Walters;E. A. Stow",2002,35,2,408,410,10.2307/4331749
Review: A Life of Sir Francis Galton: From African Exploration to the Birth of Eugenics|Nicholas Wright Gillham,2002,35,2,406,408,10.2307/4331748
Review: Darwin et l'Après Darwin|Jean Gayon,1994,27,1,161,163,10.2307/4331299
Simpson on Species,1994,27,1,141,159,10.2307/4331298
"Alfred Russel Wallace and the Road to Natural Selection, 1844–1858",2014,48,,279,300,10.1007/s10739-014-9397-9
Edmund Vincent Cowdry and the Making of Gerontology as a Multidisciplinary Scientific Field in the United States,2008,41,3,529,572,10.2307/40271488
Review: Linnaeus in Italy: The Spread of a Revolution in Science|Marco Beretta;Alessandro Tosi,2008,41,3,573,575,10.2307/40271489
Ella Thea Smith and the Lost History of American High School Biology Textbooks,2008,41,3,435,471,10.2307/40271486
History in the Gene: Negotiations between Molecular and Organismal Anthropology,2008,41,3,473,528,10.2307/40271487
Civic Biology and the Origin of the School Antievolution Movement,2008,41,3,409,433,10.2307/40271485
The Fish Commission Laboratory and Its Influence on the Founding of the Marine Biological Laboratory,1990,23,2,251,270,10.2307/4331129
The Idea of Immunity: Metchnikoff's Metaphysics and Science,1990,23,2,187,249,10.2307/4331128
Review: Les savants genevois dans l'Europe intellectuelle du XVIIe au milieu du XIXe siècle|Jacques Trembley,1990,23,1,159,162,10.2307/4331124
"Endocrinologists and the Conceptualization of Sex, 1920-1940",1990,23,2,163,186,10.2307/4331127
"Review: The Age of Lamarck: Evolutionary Theories in France, 1790-1830|Pietro Corsi;Jonathan Mandelbaum",1990,23,1,155,156,10.2307/4331121
"Darwin, Wallace, and Huxley, and ""Vestiges of the Natural History of Creation""",1990,23,1,127,153,10.2307/4331120
Review: Sir Joseph Banks|Harold B. Carter,1990,23,1,158,159,10.2307/4331123
"Review: From Mineralogy to Geology: The Foundations of a Science, 1650-1830|Rachel Laudan",1990,23,1,157,158,10.2307/4331122
Review: Memoires et Souvenirs (1878-1841)|Jean-Daniel Candaux;Jean-Marc Drouin;Augustin-Pyramus de Candolle,2004,37,3,603,604,10.2307/4331909
"Review: Die Zweite Darwinsche Revolution. Geschichte Des Synthetischen Darwinismus in Deutschland, 1924 Bis 1950|Thomas Junker",2004,37,3,601,602,10.2307/4331908
Review: A Brand New Bird: How Two Amateur Geneticists Created the First Genetically Engineered Animal|Tim Birkhead,2004,37,3,591,593,10.2307/4331903
Review: Mendel's Legacy: The Origin of Classical Genetics|Elof Axel Carlson,2004,37,3,590,591,10.2307/4331902
"Review: Making Mice: Standardizing Animals for American Biomedical Research, 1900-1955|Karen Rader",2004,37,3,588,590,10.2307/4331901
Review: Investigative Pathways: Patterns and Stages in the Careers of Experimental Scientists|Frederic Lawrence Holmes,2004,37,3,585,588,10.2307/4331900
Review: An Elusive Victorian: The Evolution of Alfred Russel Wallace|Martin Fichman,2004,37,3,598,600,10.2307/4331907
"Review: Suppressing the Diseases of Animals and Man: Theobald Smith, Microbiologist|Claude E. Dolman;Richard J. Wolfe",2004,37,3,597,598,10.2307/4331906
Review: Advice for a Young Investigator|Neely Swanson;Larry W. Swanson;Santiago Ramón y Cajal,2004,37,3,595,596,10.2307/4331905
Review: Corn and Capitalism: How a Botanical Bastard Grew to Global Dominance|Arturo Warman;Nancy L. Westrate,2004,37,3,594,595,10.2307/4331904
Review: Science Textbook Controversies and the Politics of Equal Time|Dorothy Nelkin,1978,11,2,398,399,10.2307/4330720
Review: Ever since Darwin: Reflections in Natural History|Stephen Jay Gould,1978,11,2,399,400,10.2307/4330721
Review: In the Shadow of the Enlightenment: Occultism and Renaissance Science in Eighteenth-Century America|Herbert Leventhal,1978,11,2,,,10.2307/4330722
Rationalism and Embryology: Caspar Friedrich Wolff's Theory of Epigenesis,1979,12,1,1,43,10.2307/4330725
The Vesalian Movement in Sixteenth-Century Spain,1979,12,1,45,81,10.2307/4330726
Was Aristotle's Biology Sexist?,1979,12,1,83,112,10.2307/4330727
William Beaumont and the Ethics of Human Experimentation,1979,12,1,113,135,10.2307/4330728
"Redefining the X Axis: ""Professionals,"" ""Amateurs"" and the Making of Mid-Victorian Biology: A Progress Report",2001,34,1,3,50,10.2307/4331633
Editors' Introduction,2001,34,1,1,2,10.2307/4331632
Gentlemanly Men of Science: Sir Francis Galton and the Professionalization of the British Life-Sciences,2001,34,1,83,114,10.2307/4331635
Joseph Dalton Hooker's Ideals for a Professional Man of Science,2001,34,1,51,82,10.2307/4331634
Rationalizing Early Embryogenesis in the 1930s: Albert Dalcq on Gradients and Fields,2001,34,1,149,181,10.2307/4331637
Amateurs and Professionals in One County: Biology and Natural History in Late Victorian Yorkshire,2001,34,1,115,147,10.2307/4331636
Review: Buffon: A Life in Natural History|Jacques Roger;Sarah Lucille Bonnefoi;L. Pearce Williams,1998,31,2,298,300,10.2307/4331486
Review: Biographical Dictionary of American and Canadian Naturalists and Environmentalists|Keir B. Sterling;Richard P. Harmond;George A. Cevasco;Lorne F. Hammond American Ecologists: A Biographical Bibliography|Robert L. Burgess,1998,31,2,300,302,10.2307/4331487
Review: The Land between the Rivers: Thomas Nuttall's Ascent of the Arkansas 1819|Russell M. Lawson,2005,38,2,393,395,10.2307/4331956
Review: Essay on Classification|Louis Agassiz Agassiz's Legacy: Scientists' Reflections on the Value of the Field Experience|Elizabeth Higgins Gladfelter,2005,38,2,395,397,10.2307/4331957
Review: What Genes Can't Do|Lenny Moss,2005,38,2,383,384,10.2307/4331950
Review: Trafficking Materials and Gendered Experimental Practices: Radium Research in Early 20th Century Vienna|Maria Rentetzi,2009,42,3,613,616,10.2307/40271568
The Limits of Heredity: Nature and Nurture in American Eugenics before 1915,1998,31,2,263,278,10.2307/4331480
Cancer and Science: The Hundred Years War,1998,31,2,279,288,10.2307/4331481
Review: Life Sciences in the Twentieth Century|Garland Allen,1976,9,2,,,10.2307/4330658
Review: Darwin on Man: A Psychological Study of Scientific Creativity; Together with Darwin's Early and Unpublished Notebooks|Howard E. Gruber;Paul H. Barrett,1976,9,2,323,324,10.2307/4330659
"Organotherapy, British Physiology, and Discovery of the Internal Secretions",1976,9,2,235,268,10.2307/4330654
The Critic and the Advocate: Contrasting British Views on the State of Endocrinology in the Early 1920s,1976,9,2,269,285,10.2307/4330655
"On the Diffusion of a New Specialty: Marañón and the ""Crisis"" of Endocrinology in Spain",1976,9,2,287,300,10.2307/4330656
"""The Die Is Cast"" -- ""I Am Going Home"": The Appointment of Herbert McLean Evans as Head of Anatomy at Berkeley",1976,9,2,301,322,10.2307/4330657
Aristotle and Woman,1976,9,2,183,213,10.2307/4330651
Freud before Oedipus: Race and Heredity in the Origins of Psychoanalysis,1976,9,2,215,228,10.2307/4330652
Endocrinology: A Brief Introduction,1976,9,2,229,233,10.2307/4330653
"The Laboratory Technology of Discrete Molecular Separation: The Historical Development of Gel Electrophoresis and the Material Epistemology of Biomolecular Science, 1945-1970",2009,42,3,495,527,10.2307/40271561
Review: The Female in Aristotle's Biology: Reason or Rationalization|Robert Mayhew,2005,38,2,400,402,10.2307/4331959
"Edward Hitchcock's Pre-Darwinian (1840) ""Tree of Life""",2009,42,3,561,592,10.2307/40271563
"Book Review: James Tabery (ed.), Beyond Versus: The Struggle to Understand the Interaction of Nature and Nurture.",2015,48,,357,360,10.1007/s10739-015-9405-8
Systematics and the Origin of Species from the Viewpoint of a Botanist: Edgar Anderson Prepares the 1941 Jesup Lectures with Ernst Mayr,2012,46,,73,101,10.1007/s10739-012-9325-9
Politics and the Environment: Essay Review,2007,40,4,761,765,10.2307/29737518
Review: Nature and the Godly Empire: Science and Evangelical Mission in the Pacific|Sujit Sivasundaram,2007,40,4,766,768,10.2307/29737519
"Overheated Rats, Race, and the Double Gland: Paul Kammerer, Endocrinology and the Problem of Somatic Induction",2007,40,4,683,725,10.2307/29737516
Writing Scientific Biography,2007,40,4,727,759,10.2307/29737517
"Wallace, Darwin, and the Practice of Natural History",2007,40,4,601,635,10.2307/29737514
A Particular Synthesis: Aleksandr Promptov and Speciation in Birds,2007,40,4,637,682,10.2307/29737515
Review: Endless Forms Most Beautiful: The New Science of Evo Devo|Sean Carroll,2007,40,3,594,597,10.2307/29737510
"Review: The Troubled Dream of Genetic Medicine: Ethnicity and Innovation in Tay Sachs, Cystic Fibrosis and Sickle Cell Disease|Keith Wailoo;Stephen Pemberton",2007,40,3,598,600,10.2307/29737511
Systems Thinking Versus Population Thinking: Genotype Integration and Chromosomal Organization 1930s–1950s,2015,48,,641,677,10.1007/s10739-015-9400-0
"Paul Lawrence Farber, Mixing Races: From Scientific Racism to Modern Evolutionary Ideas",2013,46,,319,322,10.1007/s10739-013-9356-x
The Spontaneous Generation Controversy (1700-1860): The Origin of Parasitic Worms,1972,5,1,95,125,10.2307/4330570
Darwinian Gradualism and Its Limits: The Development of Darwin's Views on the Rate and Pattern of Evolutionary Change,1987,20,2,139,157,10.2307/4331009
Fashioning the Immunological Self: The Biological Individuality of F. Macfarlane Burnet,2013,47,,147,175,10.1007/s10739-013-9352-1
"Review: Changing Life: Genomes, Ecologies, Bodies, Commodities|Peter J. Taylor;Paul N. Edwards;Saul E. Halfon",1999,32,3,559,561,10.2307/4331550
Review: The Nazi War on Cancer|Robert N. Proctor,1999,32,3,561,563,10.2307/4331551
Review: Toward a History of Epistemic Things: Synthesizing Proteins in a Test Tube|Hans-Jörg Rheinberger,1999,32,3,563,565,10.2307/4331552
Review: Picture Control: The Electron Microscope and the Transformation of Biology in America. 1940-1960|Nicholas Rasmussen,1999,32,3,566,568,10.2307/4331553
"Review: The Life and Work of J. B. S. Haldane, with Special Reference to India|Krishna R. Dronamraju",1987,20,1,134,135,10.2307/4331006
Review: The Birth of the Cell|Henry Harris,1999,32,3,570,573,10.2307/4331555
Review: The Creation/Evolution Controversy: An Annotated Bibliography|James L. Hayward The Creation/Evolution Controversy: A Battle for Cultural Power|Kary D. Smout,1999,32,3,573,575,10.2307/4331556
"Review: Clémence Royer, philosophe et femme de sciences|Geneviève Fraisse",1987,20,1,133,134,10.2307/4331005
A Worldwide Inventory of the History of Ecology,1983,16,1,171,175,10.2307/4330846
Male and Female in Theophrastus's Botanical Works,1995,28,2,317,332,10.2307/4331352
"A Missing Hunterian Lecture on Vertebrae by Richard Owen, 1837",1995,28,2,333,368,10.2307/4331353
"A Wolf in Sheep's Clothing: Carl Gegenbaur, Ernst Haeckel, the Vertebral Theory of the Skull, and the Survival of Richard Owen",1995,28,2,247,280,10.2307/4331350
George John Romanes's Defense of Darwinism: The Correspondence of Charles Darwin and His Chief Disciple,1995,28,2,281,316,10.2307/4331351
Review: The Beak of the Finch: A Story of Evolution in Our Time|Jonathan Weiner,1995,28,2,374,376,10.2307/4331356
Review: L'histoire de la connaissance du comportement animal (The History of the Knowledge of Animal Behaviour)|Liliane Bodson,1995,28,2,376,378,10.2307/4331357
Review: Nature's Body: Gender in the Making of Modern Science|Londa Schiebinger,1995,28,2,369,371,10.2307/4331354
Review: André Michaux in Florida: An Eighteenth-Century Botanical Journey|Walter Kingsley Taylor;Eliane M. Norman,2003,36,1,214,215,10.2307/4331793
"Review: Genetics and Medicine in the United States, 1880-1922|Alan R. Rushton",1995,28,2,378,379,10.2307/4331358
Review: Frankenstein: Penetrating the Secrets of Nature|Susan E. Lederer,2003,36,2,432,433,10.2307/4331822
Review: Called by the Wild: The Autobiography of a Conservationist|Raymond F. Dasmann,2003,36,1,211,212,10.2307/4331791
"Review: Visions of the Land: Science, Literature, and the American Environment from the Era of Exploration to the Age of Ecology|Michael A. Bryson",2003,36,1,219,221,10.2307/4331796
Review: Platypus: The Extraordinary Story of How a Curious Creature Baffled the World|Ann Moyal,2003,36,1,221,222,10.2307/4331797
"Review: Oceanographic History: The Pacific and beyond, Proceedings of the 5th International Congress on the History of Oceanography|Keith R. Benson;Philip F. Rehbock",2003,36,1,215,217,10.2307/4331794
Adaptation and the Importance of Local Culture: Creating a Research School at the Scripps Institution of Oceanography,2003,36,3,461,500,10.2307/4331827
"Book Review: Angela N.H. Creager, Life Atomic: A History of Radioisotopes in Science and Medicine",2014,47,,177,179,10.1007/s10739-014-9374-3
The History of the Naming of the Loblolly Bay,1970,3,1,149,154,10.2307/4330535
"Vertebrate Paleontology, an Early Nineteenth-Century Transatlantic Science",1970,3,1,137,148,10.2307/4330534
The History of Embryology as Intellectual History,1970,3,1,155,181,10.2307/4330536
Harvey and Fludd: The Irrational Factor in the Rational Science of the Seventeenth Century,1970,3,1,81,105,10.2307/4330531
"Descartes' Physiological Method: Position, Principles, Examples",1970,3,1,53,79,10.2307/4330530
Historical Aspects of F. W. Putnam's Systematic Studies on Fishes,1970,3,1,131,135,10.2307/4330533
"Towards a Synthesis: Population Concepts in Russian Evolutionary Thought, 1925-1935",1970,3,1,107,129,10.2307/4330532
Dollo on Dollo's Law: Irreversibility and the Status of Evolutionary Laws,1970,3,2,189,212,10.2307/4330539
From Haeckelian Monist to Anti-Haeckelian Vitalist: The Transformation of the Icelandic Naturalist Thorvaldur Thoroddsen (1855-1921),2002,35,3,443,470,10.2307/4331758
How Theories Became Knowledge: Morgan's Chromosome Theory of Heredity in America and Britain,2002,35,3,471,535,10.2307/4331759
Justus Liebig and the Plant Physiologists,2002,35,3,421,441,10.2307/4331757
Review: Reconciling Science and Religion: The Debate in Early-Twentieth-Century Britain|Peter J. Bowler Science in Theistic Contexts: Cognitive Dimensions|John Hedley Brooke;Margaret J. Osler;Jitse van der Meer,2002,35,2,416,418,10.2307/4331752
"Review: Shaping Science with Rhetoric: The Cases of Dobzhansky, Schrödinger, and Wilson|Leah Ceccarelli",2002,35,2,418,420,10.2307/4331753
Review: Evolution and the Spontaneous Generation Debate|James Strick,2002,35,2,410,413,10.2307/4331750
Review: Science and Selection: Essays on Biological Evolution and the Philosophy of Science|David L. Hull,2002,35,2,414,415,10.2307/4331751
Experiment and Orientation: Early Systems of in vitro Protein Synthesis,1993,26,3,443,471,10.2307/4331280
Molecular Biology in the French Tradition? Redefining Local Traditions and Disciplinary Patterns,1993,26,3,473,498,10.2307/4331281
Building a Science in Japan: The Formative Decades of Molecular Biology,1993,26,3,499,517,10.2307/4331282
The Survival of Basic Biological Research in National Socialist Germany,1993,26,3,519,543,10.2307/4331283
"Thomas Huxley: Fossils, Persistence, and the Argument from Design",1993,26,3,545,569,10.2307/4331284
Review: Scenes from Deep Time: Early Pictorial Representations of the Prehistoric World|Martin J. S. Rudwick,1993,26,3,571,574,10.2307/4331285
Review: Theory Construction in Science: Strategies from Mendelian Genetics|Lindley Darden,1993,26,3,575,577,10.2307/4331286
"Review: L'equilibrio e la guerra natura. Dalla teologia naturale al darwinismo|Antonello La Vergata Nonostante Malthus. Fecondità, popolazioni e armonia della natura, 1700-1900|Antonello La Vergata",1993,26,3,577,581,10.2307/4331287
Review: Women in the Field: America's Pioneering Women Naturalists|Marcia Myers Bonta,1993,26,3,581,582,10.2307/4331288
Review: Spencer Baird of the Smithsonian|E. F. Rivinus;E. M. Youssef,1993,26,3,582,584,10.2307/4331289
"Review: American Chestnut: The Life, Death, and Rebirth of a Perfect Tree|Susan Freinkel",2008,41,3,585,587,10.2307/40271494
Review: Darwin's Coat-Tails: Essays on Social Darwinism|Paul Crook,2008,41,3,577,579,10.2307/40271491
Review: The Problem of Animal Generation in Early Modern Philosophy|Justin E. H. Smith,2008,41,3,575,577,10.2307/40271490
"Review: Heredity Produced: At the Crossroads of Biology, Politics, and Culture, 1500–1870|Staffan Müller-Wille;Hans-Jörg Rheinberger",2008,41,3,582,585,10.2307/40271493
Review: From Embryology to Evo-Devo: A History of Developmental Evolution|Manfred Laubichler;Jane Maienschein,2008,41,3,579,582,10.2307/40271492
Review: Toward a New Philosophy of Biology|Ernst Mayr,1990,23,2,321,328,10.2307/4331132
"""Primate Visions"", a Model for Historians of Science?",1990,23,2,329,333,10.2307/4331133
The Conundrum of the Honey Bees: One Impediment to the Publication of Darwin's Theory,1990,23,2,271,290,10.2307/4331130
"Structuralism, Functionalism, and the Four Aristotelian Causes",1990,23,2,291,320,10.2307/4331131
"Review: The History of Biology: A Selected, Annotated Bibliography|Judith A. Overmier",1990,23,2,337,338,10.2307/4331136
Review: Kants Kritik der teleologischen Urteilskraft|Peter McLaughlin,1990,23,2,338,339,10.2307/4331137
"Review: Darwinismus und Botanik: Rezeption, Kritik und theoretische Alternaien im Deutschland des 19. Jahrhunderts|Thomas Junker",1990,23,2,335,336,10.2307/4331134
"Review: Models of Nature: Ecology, Conservation, and Cultural Revolution in Soviet Russia|Douglas R. Weiner",1990,23,2,336,337,10.2307/4331135
"""It Ain't over 'Til It's over"": Rethinking the Darwinian Revolution",2005,38,1,33,49,10.2307/4331918
The Darwinian Revolution Revisited,2005,38,1,51,66,10.2307/4331919
Review: American Science in the Age of Jefferson|John C. Greene,2004,37,3,604,605,10.2307/4331910
Review: Where Land and Water Meet: A Western Landscape Transformed|Nancy Langston,2004,37,3,606,608,10.2307/4331911
"Review: Crab Wars: A Tale of Horseshoe Crabs, Bioterrorism, and Human Health|William Sargent",2004,37,3,608,609,10.2307/4331912
"Review: Ishi's Brain: In Search of American's Last ""Wild Indian""|Orin Starn",2004,37,3,610,611,10.2307/4331913
"The Darwinian Revolution, as Seen in 1979 and as Seen Twenty-Five Years Later in 2004",2005,38,1,3,17,10.2307/4331916
Revisiting the Eclipse of Darwinism,2005,38,1,19,32,10.2307/4331917
Review: La introducción de la teoría celular en España|Juan Aréchaga;Guillermo Olagüe;Luis García Ballester,1978,11,2,397,398,10.2307/4330719
Review: The Naturalist in Britain: A Social History|David Elliston Allen,1978,11,2,396,397,10.2307/4330718
The J. H. B. Archive Report: The Alexander Forbes Papers,1978,11,2,387,393,10.2307/4330715
Theophrastus on Herbals and Herbal Remedies,1978,11,2,353,385,10.2307/4330714
"Review: Henslow of Hitcham: Botanist, Educationalist, and Clergyman|Jean Russell-Gebett",1978,11,2,395,396,10.2307/4330717
"Review: The Life and Contributions of Walter Bradford Cannon, 1871-1945|Kiyomi Koizumi;James O. Pinkston;Chandler McC. Brooks",1978,11,2,,,10.2307/4330716
"Charles Darwin, the Origin of Consciousness, and Panpsychism",1978,11,2,245,267,10.2307/4330711
Abbott Thayer and the Protective Coloration Debate,1978,11,2,223,244,10.2307/4330710
The Embryological Origins of the Gene Theory,1978,11,2,307,351,10.2307/4330713
From Candolle to Croizat: Comments on the History of Biogeography,1978,11,2,269,305,10.2307/4330712
Review: Genetic Engineering: A Documentary History|Thomas A. Shannon,2000,33,3,606,608,10.2307/4331626
Review: Breeding Better Vermonters: The Eugenics Project in the Green Mountain State|Nancy L. Gallagher Inheriting Shame: The Story of Eugenics and Racism in America|Steven Selden,2000,33,3,608,611,10.2307/4331627
Review: The Hidden Structure: A Scientific Biography of Camillo Golgi|Paolo Mazzarello;Jenry Buchtel;Aldo Badiani Camillo Golgi and the Neurosciences|Marina Bentivoglio;Luigi Amedeo Vignolo,2000,33,3,602,604,10.2307/4331624
Review: Tobacco Mosaic Virus: One Hundred Years of Contributions to Virology|Karen-Beth G. Scholthof;John G. Shaw;Milton Zaitlin,2000,33,3,604,606,10.2307/4331625
Review: Preserving Yellowstone's Natural Conditions: Science and the Perception of Nature|James A. Pritchard,2000,33,3,599,600,10.2307/4331622
"Review: And No Birds Sing: Rhetorical Analyses of Rachel Carson's ""Silent Spring""|Craig Waddell",2000,33,3,601,602,10.2307/4331623
Review: Thomas Henry Huxley: The Evolution of a Scientist|Sherrie Lyons,2000,33,3,594,597,10.2307/4331620
Review: Richard Archbold and the Archbold Biological Station|Roger A. Morse,2000,33,3,597,598,10.2307/4331621
"Review: The Triple Helix: Gene, Organism, and Environment|Richard Lewontin",2000,33,3,611,612,10.2307/4331628
"Review: Albertus Magnus on Animals: A Medieval Summa Zoologica|Kenneth F. Kitchell, Jr.;Irven Michael Resnick",2000,33,3,612,614,10.2307/4331629
Galen's Criticism of Aristotle's Conception Theory,1977,10,1,65,85,10.2307/4330669
Wallace: Zoogeography and the Problem of Land Bridges,1977,10,1,45,63,10.2307/4330668
"Review: Archetypes and Ancestors: Palaeontology in Victorian London, 1850-1875|Adrian Desmond",1984,17,1,151,152,10.2307/4330887
Review: Form and Function: A Contribution to the History of Animal Morphology|E. S. Russell,1984,17,1,,,10.2307/4330886
Darwin's Use of the Analogy between Artificial and Natural Selection,1984,17,1,113,140,10.2307/4330881
The Galenic and Hippocratic Challenges to Aristotle's Conception Theory,1984,17,1,83,112,10.2307/4330880
"Review: Abusing Science: The Case against Creationism|Philip Kitcher Creationism, Science, and the Law: The Arkansas Case|Marcel C. La Follette",1984,17,1,147,148,10.2307/4330883
The Roots of Biological Determinism,1984,17,1,141,145,10.2307/4330882
Review: Claude Bernard and Animal Chemistry: The Emergence of a Scientist|Frederic Lawrence Holmes,1976,9,2,,,10.2307/4330661
Review: The Economy of Nature and the Evolution of Sex|Michael T. Ghiselin,1976,9,2,,,10.2307/4330660
Review: A Plague of Corn: The Social History of Pellagra|Daphne A. Roe,1976,9,2,326,327,10.2307/4330663
"Review: The Development of Natural History in Tudor England, and The Growth of Natural History in Stuart England from Gerard to the Royal Society|F. D. Hoeniger;J. F. M. Hoeniger",1976,9,2,325,326,10.2307/4330662
Darwinism and the Argument from Design: Suggestions for a Reevaluation,1977,10,1,29,43,10.2307/4330667
Darwin as a Social Evolutionist,1977,10,1,1,27,10.2307/4330666
Review: Charles Bonnet and the Order of the Known|Lorin Anderson,1983,16,3,443,444,10.2307/4330869
Review: The Emergence of Ornithology as a Scientific Discipline: 1760-1850|Paul Lawence Farber,1983,16,3,442,443,10.2307/4330868
Review: Darwinism Defended: A Guide to the Evolution Controversies|Michael Ruse,1983,16,3,441,442,10.2307/4330867
Spanish Science and the New World,1983,16,3,433,440,10.2307/4330866
"The Concepts of Dormancy, Latency, and Dominance in Nineteenth-Century Biology",1983,16,3,409,431,10.2307/4330865
Aristotle's Statement on the Reproduction of Sharks,1983,16,3,391,407,10.2307/4330864
Further Remarks on Darwin's Spelling Habits and the Dating of Beagle Voyage Manuscripts,1983,16,3,361,390,10.2307/4330863
Theories of Osteogenesis in the Eighteenth Century,1983,16,3,343,360,10.2307/4330862
"The Struggle for Authority in the Field of Heredity, 1900-1932: New Perspectives on the Rise of Genetics",1983,16,3,311,342,10.2307/4330861
Inaugurating the Everett Mendelsohn Prize,2016,49,,1,2,10.1007/s10739-016-9435-x
Haldane and Lysenko Revisited,2007,40,3,557,563,10.2307/29737501
"The Preface to Darwin's Origin of Species: The Curious History of the ""Historical Sketch""",2007,40,3,529,556,10.2307/29737500
"Review: The Tropics and the Traveling Gaze: India, Landscape, and Science, 1800-1856|David Arnold",2007,40,3,577,579,10.2307/29737503
"""The Ethologist's World""",2007,40,3,565,575,10.2307/29737502
"Review: Brazil through the Eyes of William James: Letters, Diaries, and Drawings, 1865-1866 (O Brasil No Olhar de William James: Cartas, Diírios e Desenhos, 1865-1866)|Maria Helena;P. T. MacHado;John M. Monteiro",2007,40,3,582,584,10.2307/29737505
"Review: Lamarck, Philosophe de la Nature|Pietro Corsi;Jean Gayon;Gabriel Gohau;Stéphane Tirard",2007,40,3,580,581,10.2307/29737504
Review: Windows on Nature: The Great Habitat Dioramas of the American Museum of Natural History|Stephen Christopher Quinn,2007,40,3,587,589,10.2307/29737507
Review: Salmon|Peter Coates,2007,40,3,585,587,10.2307/29737506
Review: Darwinism and Its Discontents|Michael Ruse,2007,40,3,592,594,10.2307/29737509
Review: Just a Theory: Exploring the Nature of Science|Moti Ben-Ari,2007,40,3,589,592,10.2307/29737508
"Causes of Aging Are Likely to be Many: Robin Holliday and Changing Molecular Approaches to Cell Aging, 1963–1988",2014,47,,547,584,10.1007/s10739-014-9382-3
"Cancer, Viruses, and Mass Migration: Paul Berg's Venture into Eukaryotic Biology and the Advent of Recombinant DNA Research and Technology, 1967-1980",2008,41,4,589,636,10.2307/40271515
Review: The Lysenko Effect: The Politics of Science|Nils Roll-Hansen,2006,39,1,232,234,10.2307/4332009
Review: Curt Richter: A Life in the Laboratory|Jay Shulkin,2006,39,1,230,232,10.2307/4332008
Breeding without Mendelism: Theory and Practice of Dairy Cattle Breeding in the Netherlands 1900-1950,2008,41,4,637,676,10.2307/40271516
"Review: Sturtevant & Dobzhansky: Two Scientists at Odds, with a Student's Recollections|Edward Novitski",2006,39,1,220,221,10.2307/4332003
Review: Eugenic Nation: Faults and Frontiers of Better Breeding in Modern America|Alexandra Minna Stern,2006,39,1,218,219,10.2307/4332002
Review: William J. Spillman and the Birth of Agricultural Economics|Laurie Winn Carlson,2006,39,1,216,217,10.2307/4332001
"Review: From Here to Eternity: Ernst Haeckel and Scientific Faith, Religion, Theology, and Natural Science, Vol. 3|Mario di Gregorio",2006,39,1,214,216,10.2307/4332000
"Review: The Evolution of American Ecology, 1890-2000|Sharon Kingsland",2006,39,1,228,230,10.2307/4332007
Review: The Evolution-Creation Struggle|Michael Ruse,2006,39,1,226,228,10.2307/4332006
Review: Models: The Third Dimension of Science|Soraya de Chadarevian;Nick Hopwood,2006,39,1,224,226,10.2307/4332005
Review: The Inside Story: DNA to RNA to Protein: Readings from Trends in Biochemical Sciences|Jan Witkowski,2006,39,1,222,223,10.2307/4332004
"Book Review: Marga Vicedo, The Nature and Nurture of Love: From Imprinting to Attachment in Cold War America",2014,47,,181,183,10.1007/s10739-014-9375-2
Modernizing Natural History: Berkeley’s Museum of Vertebrate Zoology in Transition,2012,46,,369,400,10.1007/s10739-012-9339-3
"Book Review: Carl F. Craver and Lindley Darden, In Search of Mechanisms: Discoveries across the Life Sciences",2014,47,,323,327,10.1007/s10739-014-9379-y
The Marine Biological Laboratory (Woods Hole) and the Scientific Advancement of Women in the Early 20th Century: The Example of Mary Jane Hogue (1883–1962),2014,48,,137,167,10.1007/s10739-014-9384-1
Practice and Place in Twentieth-Century Field Biology: A Comment,2012,45,4,579,586,10.2307/41653588
Labs in the Field? Rocky Mountain Biological Stations in the Early Twentieth Century,2012,45,4,587,611,10.2307/41653589
